구간 / 차종,평일-1종,평일-2종,평일-3종,평일-4종,평일-5종,주말-1종,주말-2종,주말-3종,주말-4종,주말-5종
 원주 ~ 새말 ,49416,1116,2498,1254,1647,68798,579,2325,586,651
 새말 ~ 둔내 ,46984,992,2269,1061,1535,65690,527,2191,506,615
 둔내 ~ 동둔내 ,44214,928,2154,984,1493,61243,492,2081,468,593
 동둔내 ~ 면온 ,44317,929,2155,984,1493,61417,492,2082,468,593
 면온 ~ 평창 ,43278,919,2107,976,1456,59366,486,1995,463,589
 평창 ~ 속사 ,43716,932,2108,938,1546,60796,496,2041,446,629
 속사 ~ 진부 ,43101,916,2078,903,1538,59418,485,1996,425,622
 진부 ~ 대관령 ,42549,916,2037,857,1553,57954,483,1919,397,628
 대관령 ~ 강릉JC ,42944,931,2034,831,1575,57443,502,1919,380,646
 둔대JC ~ 팔곡JC ,11006,392,552,517,865,10370,120,235,164,237
 동군포 ~ 동군포JC ,11163,752,716,1577,905,8420,377,277,612,351
 경기광주JC ~ 경기광주JC ,21483,501,1371,451,544,28799,208,1062,184,222
 경기광주JC ~ 초월 ,17764,362,1169,367,420,24530,155,931,150,174
 초월 ~ 동곤지암 ,25184,489,1369,513,694,35274,216,1065,224,269
 동곤지암 ~ 흥천이포 ,24269,440,1341,494,695,34857,208,1061,223,267
 흥천이포 ~ 대신 ,23422,408,1233,463,659,34895,195,982,207,250
 대신 ~ 동여주 ,23296,410,1232,466,661,34944,195,982,208,251
 동여주 ~ 동양평 ,23296,410,1232,466,661,34944,195,982,208,251
 동양평 ~ 서원주 ,23328,415,1233,469,678,34883,197,979,210,258
 서원주 ~ 서원주JC ,24186,433,1271,485,725,35978,207,1001,217,281
 서원주JC ~ 원주JC ,9897,206,587,234,167,16601,103,494,114,62
 원주JC ~ 원주JC ,14332,307,735,339,273,23189,149,602,159,98
 서원주JC ~ 신평JC ,14289,227,684,251,558,19377,104,506,103,219
 신평JC ~ 신평JC ,19672,329,817,395,791,26263,149,591,150,308
 금호JC ~ 칠곡 ,66357,1647,2130,1301,2831,72588,699,1453,507,1111
 칠곡 ~ 다부 ,58189,1467,2025,1255,2836,66741,631,1453,493,1107
 다부 ~ 가산 ,57552,1475,2027,1246,2660,66519,638,1449,487,1011
 가산 ~ 가산JC ,48026,1068,1640,933,1930,58354,477,1289,381,770
 가산JC ~ 군위 ,50134,1083,1847,1073,2766,61627,493,1527,440,1168
 군위 ~ 의성 ,45277,962,1690,956,2625,57052,450,1460,412,1118
 의성 ~ 안동JC ,40599,873,1580,912,2504,51517,412,1398,392,1076
 안동JC ~ 남안동 ,41084,890,1668,992,2627,50375,409,1395,407,1110
 남안동 ~ 서안동 ,31663,623,1421,821,2307,39369,299,1251,336,999
